user_id,total_spent,n_pedidos,n_productos_diferentes,cantidad_total,ticket_medio,n_pedidos_devueltos,cluster
6,2240.00,1,1,16,2240.00,0,0
7,6650.00,1,1,7,6650.00,0,3
12,5140.00,1,2,45,5140.00,0,0
13,5991.75,2,3,93,2995.87,0,2
15,3759.71,2,2,63,1879.85,0,2
16,101.46,1,1,6,101.46,0,0
17,1103.52,1,1,48,1103.52,0,0
20,129.50,1,1,1,129.50,1,1
29,460.00,1,1,23,460.00,0,0
35,5404.53,1,1,47,5404.53,0,0
42,196.00,1,1,7,196.00,0,0
52,770.00,1,1,14,770.00,0,0
53,2330.67,1,2,42,2330.67,0,0
54,1681.96,1,2,40,1681.96,0,0
55,792.00,1,1,4,792.00,1,1
57,725.00,1,1,25,725.00,0,0
63,5857.71,2,2,74,2928.85,0,2
66,324.00,1,1,6,324.00,0,0
85,2525.00,1,2,47,2525.00,0,0
87,1800.00,1,1,36,1800.00,0,0
88,2304.00,1,1,48,2304.00,0,0
91,2400.00,1,1,16,2400.00,0,0
94,5967.30,1,3,92,5967.30,0,3
97,929.69,1,1,31,929.69,2,1
98,1845.00,1,1,41,1845.00,0,0
99,1261.79,1,1,29,1261.79,0,0
104,81.38,1,1,1,81.38,1,1
106,8680.00,1,1,35,8680.00,0,3
107,1645.00,1,1,35,1645.00,0,0
109,1628.00,1,1,37,1628.00,0,0
116,3362.57,2,3,81,1681.29,0,2
120,1059.36,1,1,16,1059.36,0,0
121,2453.68,1,3,63,2453.68,0,0
127,769.93,1,1,7,769.93,0,0
129,1347.75,1,1,45,1347.75,0,0
134,1920.00,1,1,48,1920.00,0,0
143,923.67,1,1,33,923.67,0,0
148,27.98,1,1,2,27.98,0,0
151,1380.00,1,1,30,1380.00,2,1
158,1822.50,1,2,45,1822.50,0,0
166,585.90,1,1,3,585.90,0,0
169,39.98,1,1,2,39.98,0,0
171,476.00,1,1,17,476.00,0,0
176,4056.00,1,3,95,4056.00,0,0
182,1116.00,1,1,6,1116.00,0,0
