product_id,total_facturado,n_ventas,cantidad_total_vendida,n_clientes_unicos,n_devoluciones
1,686.00,1,14,1,1
2,2849.50,1,41,1,1
3,7853.50,3,113,3,0
4,12096.00,3,112,3,2
5,3102.00,2,33,2,1
6,792.00,1,6,1,0
7,3041.50,3,77,3,1
8,8400.00,2,50,2,0
11,1611.00,2,18,2,0
13,6136.00,4,80,4,2
14,7304.00,2,83,2,0
15,1336.50,2,27,2,1
16,1647.50,1,50,1,0
17,416.50,1,7,1,0
18,2024.00,3,92,3,1
19,1552.50,2,69,2,0
20,2536.00,3,40,3,0
21,162.00,1,6,1,0
22,7268.00,1,46,1,0
23,714.00,1,12,1,1
25,3895.50,1,49,1,0
26,1287.00,1,26,1,0
27,7548.00,3,102,3,1
29,3127.50,1,45,1,0
30,7524.00,3,76,3,1
31,2028.25,2,35,2,1
32,6256.00,2,68,2,1
33,62.99,1,1,1,0
34,979.00,1,11,1,0
36,828.00,1,12,1,1
37,15118.11,7,189,7,2
38,1590.00,1,20,1,0
39,1421.00,1,29,1,0
40,979.00,2,11,2,0
41,5940.00,2,55,2,0
42,1188.00,1,12,1,0
43,2068.00,2,47,2,2
44,588.00,2,12,2,1
45,2108.00,2,31,2,0
46,556.00,1,8,1,1
47,12388.00,2,76,2,1
48,11766.00,5,148,5,2
49,1593.00,2,27,2,1
50,6902.00,4,116,4,1
51,928.00,1,16,1,1
52,8800.00,1,32,1,1
53,3456.00,3,54,3,1
54,2106.00,2,27,2,1
57,7955.00,1,37,1,1
58,12470.00,3,58,3,1
59,1869.00,1,42,1,0
60,2580.00,2,10,2,0
61,8270.50,3,119,3,0
62,5004.00,2,72,2,1
63,16224.00,2,78,2,0
64,4156.30,2,89,2,1
65,2256.00,2,47,2,1
66,16732.00,3,89,3,1
67,3382.00,2,38,2,0
68,3168.00,3,72,3,1
69,5346.00,2,54,2,1
70,5841.00,2,59,2,2
71,5688.00,2,36,2,0
72,1936.00,3,44,3,1
73,3872.00,1,44,1,0
74,10140.00,4,130,4,0
76,2862.00,3,36,3,0
77,5214.00,1,33,1,1
78,4608.00,4,64,4,1
79,1386.00,2,28,2,1
80,3186.00,3,59,3,1
81,3649.00,2,41,2,1
82,5400.00,3,72,3,0
83,9504.00,3,48,3,0
84,4865.00,3,70,3,2
85,3639.48,2,52,2,1
86,2915.50,2,49,2,2
87,8806.00,5,148,5,2
88,2301.00,2,39,2,0
89,856.24,4,77,4,1
90,2173.60,1,19,1,0
91,462.00,1,7,1,0
92,177.00,1,3,1,0
93,1048.25,1,35,1,1
94,2995.00,3,100,3,0
95,6413.00,3,53,3,1
96,3128.00,1,46,1,1
97,512.00,2,8,2,1
98,839.79,1,21,1,1
99,4608.00,3,48,3,1
100,2846.27,3,73,3,2
101,1331.10,3,58,3,1
102,3825.00,6,153,6,1
103,1566.00,1,29,1,0
104,3762.00,2,19,2,0
105,836.69,1,31,1,1
106,5326.50,3,67,3,1
107,6077.00,3,103,3,1
108,2494.96,3,104,3,0
109,298.77,2,23,2,0
110,1200.00,2,24,2,1
111,2598.96,6,104,6,0
113,881.37,2,63,2,2
114,3775.80,2,84,2,1
116,392.00,1,16,1,1
117,1896.00,1,48,1,0
118,92.44,1,2,1,0
119,1464.75,3,105,3,2
120,168.87,1,13,1,1
121,25.06,1,1,1,1
122,936.00,1,36,1,1
123,9064.00,3,103,3,2
124,1327.34,6,133,6,1
125,3839.74,4,113,4,2
126,5668.74,3,126,3,0
127,1439.68,1,32,1,1
128,3126.16,2,92,2,1
129,4168.61,5,139,5,1
130,1574.80,4,127,4,1
131,1419.63,3,79,3,1
132,2610.00,4,87,4,1
133,4650.00,4,93,4,1
135,659.80,2,20,2,0
136,119.96,1,4,1,0
137,350.73,2,27,2,1
138,960.00,1,24,1,1
139,2784.00,2,48,2,1
140,1273.02,4,98,4,1
141,299.88,1,42,1,0
142,491.59,1,41,1,0
143,2759.08,3,92,3,0
144,567.87,1,23,1,1
145,3358.88,3,112,3,0
146,288.92,2,31,2,1
147,309.90,1,10,1,1
149,1289.57,2,43,2,1
152,659.56,1,44,1,1
153,4505.65,2,97,2,0
154,25.00,1,1,1,1
155,239.84,1,8,1,1
156,1359.66,1,34,1,0
158,400.80,1,48,1,0
159,2925.00,1,30,1,0
160,407.37,1,37,1,0
161,251.82,2,18,2,0
162,349.90,1,10,1,0
164,865.15,2,65,2,1
166,9.79,1,1,1,0
167,2666.16,4,92,4,1
168,1200.00,3,48,3,0
170,951.66,1,34,1,0
171,374.00,2,44,2,1
172,753.48,1,26,1,1
173,2255.00,1,41,1,0
174,2579.14,2,86,2,2
175,4598.16,7,184,7,2
176,1528.17,6,133,6,0
177,719.55,1,45,1,0
178,1709.10,1,45,1,0
179,1819.09,4,91,4,2
180,383.76,1,12,1,0
182,1028.18,3,101,3,0
184,582.12,3,66,3,0
186,1790.72,2,64,2,1
187,1000.00,2,40,2,0
188,798.00,2,40,2,0
189,2875.00,3,115,3,1
190,925.00,1,37,1,0
191,1049.58,1,42,1,0
192,699.65,2,35,2,0
193,319.84,1,16,1,0
194,783.72,1,28,1,0
195,3840.00,5,96,5,2
196,323.73,1,27,1,1
197,1999.50,1,50,1,0
198,625.00,2,25,2,2
199,206.88,1,16,1,0
200,4633.97,3,103,3,1
201,413.76,2,32,2,1
202,182.56,1,16,1,0
204,2339.22,3,78,3,1
205,227.70,1,23,1,0
207,1152.04,4,83,4,2
208,2204.55,1,45,1,0
209,4585.61,3,139,3,1
211,1375.14,2,43,2,0
213,179.01,1,13,1,0
214,3485.82,3,109,3,2
215,899.75,1,25,1,0
216,2220.00,3,74,3,2
217,3479.71,1,29,1,0
219,1469.51,2,49,2,1
220,1689.35,2,65,2,2
221,308.28,1,28,1,0
222,289.80,1,10,1,0
223,1177.05,3,59,3,0
225,1138.50,2,33,2,0
226,204.44,1,19,1,0
227,1255.68,5,109,5,2
228,1286.22,2,39,2,1
229,2835.00,3,63,3,0
231,75.00,1,3,1,0
232,1199.76,1,24,1,0
233,1034.15,2,37,2,1
234,3624.08,4,89,4,3
235,3559.11,3,89,3,1
237,271.92,1,8,1,0
238,2870.13,2,87,2,1
239,543.84,1,16,1,0
240,1351.48,2,52,2,0
241,767.40,2,60,2,1
242,595.00,1,10,1,0
243,1199.60,1,40,1,0
244,363.35,1,13,1,1
245,5782.00,2,59,2,2
246,9.99,1,1,1,1
247,2678.43,2,57,2,0
248,426.60,2,54,2,0
249,2039.32,4,68,4,1
250,992.00,1,31,1,0
251,307.72,2,28,2,1
252,249.90,1,10,1,0
253,848.07,2,27,2,1
254,3661.89,3,111,3,1
256,1963.69,5,131,5,2
257,2530.00,4,46,4,1
258,385.98,1,42,1,0
259,132.80,1,16,1,1
261,1055.52,3,48,3,1
262,2799.00,3,100,3,2
263,1917.60,1,48,1,0
265,952.00,1,34,1,0
266,4050.00,3,81,3,2
267,714.87,1,47,1,0
268,1114.20,2,60,2,1
269,2898.00,2,63,2,1
271,37.90,1,2,1,0
272,1324.47,2,53,2,1
